Code,Entity,PredefinedType,Name,Entity_NL,Definition,Definition_NL,Description_NL,ParentClassCode,Uid,Domain
IfcUnitaryControlElementINDICATORPANEL,IfcUnitaryControlElement,INDICATORPANEL,Indicator Panel,Indicator paneel,"A control element at which equipment operational status, condition, safety state or other required parameters are indicated.","Een controleelement waarbij de operationele status van de apparatuur, conditie, veiligheidsstaat of andere vereiste parameters worden aangegeven.","Technische opmerking: Omdat deze klasse een 'Vooraf gedefinieerd Type' is in IFC, wat een specialisatie van de bovenliggende klasse betekent, in IFC moet het worden vertegenwoordigd door de bovenliggende klasse, met alle relevante eigenschappen en kenmerken.",IfcUnitaryControlElement,,IfcBuildingControlsDomain
IfcUnitaryControlElementMIMICPANEL,IfcUnitaryControlElement,MIMICPANEL,Mimic Panel,Mimic Paneel,A control element at which information that is available elsewhere is repeated or 'mimicked'.,"Een controle-element waarop informatie die elders beschikbaar is, wordt herhaald of 'gemimicked'.","Technische opmerking: Omdat deze klasse een 'Vooraf gedefinieerd Type' is in IFC, wat een specialisatie van de bovenliggende klasse betekent, in IFC moet het worden vertegenwoordigd door de bovenliggende klasse, met alle relevante eigenschappen en kenmerken.",IfcUnitaryControlElement,,IfcBuildingControlsDomain
IfcUnitaryControlElementTHERMOSTAT,IfcUnitaryControlElement,THERMOSTAT,Thermostat,Thermostaat,"A control element that senses and regulates the temperature of an element, system or space so that the temperature is maintained near a desired setpoint.","Een besturingselement dat de temperatuur van een element, systeem of ruimte detecteert en regelt zodat de temperatuur dicht bij de gewenste temperatuur wordt gehouden.","Technische opmerking: Omdat deze klasse een 'Vooraf gedefinieerd Type' is in IFC, wat een specialisatie van de bovenliggende klasse betekent, in IFC moet het worden vertegenwoordigd door de bovenliggende klasse, met alle relevante eigenschappen en kenmerken.",IfcUnitaryControlElement,,IfcBuildingControlsDomain
IfcUnitaryControlElementWEATHERSTATION,IfcUnitaryControlElement,WEATHERSTATION,Weather Station,Weerstation,"A control element that senses multiple climate properties such as temperature, humidity, pressure, wind, and rain.","Een controle-element dat meerdere klimaateigenschappen voelt, zoals temperatuur, vochtigheid, druk, wind en regen.","Technische opmerking: Omdat deze klasse een 'Vooraf gedefinieerd Type' is in IFC, wat een specialisatie van de bovenliggende klasse betekent, in IFC moet het worden vertegenwoordigd door de bovenliggende klasse, met alle relevante eigenschappen en kenmerken.",IfcUnitaryControlElement,,IfcBuildingControlsDomain
IfcAudioVisualApplianceAMPLIFIER,IfcAudioVisualAppliance,AMPLIFIER,Amplifier,Versterker,A device that receives an audio signal and amplifies it to play through speakers.,Een apparaat dat een audiosignaal ontvangt en dit versterkt om door sprekers af te spelen.,"Technische opmerking: Omdat deze klasse een 'Vooraf gedefinieerd Type' is in IFC, wat een specialisatie van de bovenliggende klasse betekent, in IFC moet het worden vertegenwoordigd door de bovenliggende klasse, met alle relevante eigenschappen en kenmerken.",IfcAudioVisualAppliance,,IfcElectricalDomain
IfcAudioVisualApplianceCAMERA,IfcAudioVisualAppliance,CAMERA,Camera,camera,"A device that records images, either as a still photograph or as moving images known as videos or movies. Note that a camera may operate with light from the visible spectrum or from other parts of the electromagnetic spectrum such as infrared or ultraviolet.","Een apparaat dat afbeeldingen opneemt, als een nog steeds foto of als bewegende afbeeldingen, bekend als video's of films. Merk op dat een camera kan functioneren met licht vanuit het zichtbare spectrum of vanuit andere delen van het elektromagnetische spectrum, zoals infrastructuur of ultraviolet.","Technische opmerking: Omdat deze klasse een 'Vooraf gedefinieerd Type' is in IFC, wat een specialisatie van de bovenliggende klasse betekent, in IFC moet het worden vertegenwoordigd door de bovenliggende klasse, met alle relevante eigenschappen en kenmerken.",IfcAudioVisualAppliance,,IfcElectricalDomain
IfcAudioVisualApplianceCOMMUNICATIONTERMINAL,IfcAudioVisualAppliance,COMMUNICATIONTERMINAL,Communication Terminal,Communicatie Terminal,"A communication terminal is an audio communication device that is usually installed along transportation infrastructure (railways, roads, tunnels etc.) in order to be used by the general public or operation agents for communication. It may specifically be used to make calls to emergency services in tunnels.","Een communicatie-terminal is een audio-verbindingsapparaat dat meestal wordt geïnstalleerd langs de transportinfrastructuur (spoorwegen, wegen, tunnels etc. om te worden gebruikt door het grote publiek of de operatoren voor communicatie. Het kan specifiek worden gebruikt voor oproepen aan hulpdiensten in tunnels.","Technische opmerking: Omdat deze klasse een 'Vooraf gedefinieerd Type' is in IFC, wat een specialisatie van de bovenliggende klasse betekent, in IFC moet het worden vertegenwoordigd door de bovenliggende klasse, met alle relevante eigenschappen en kenmerken.",IfcAudioVisualAppliance,,IfcElectricalDomain
IfcAudioVisualApplianceDISPLAY,IfcAudioVisualAppliance,DISPLAY,Display,Weergeven,An electronic device that represents information in visual form such as a flat-panel display or television.,"Een elektronisch apparaat dat informatie in visuele vorm weergeeft, zoals een flatpaneelscherm of televisie.","Technische opmerking: Omdat deze klasse een 'Vooraf gedefinieerd Type' is in IFC, wat een specialisatie van de bovenliggende klasse betekent, in IFC moet het worden vertegenwoordigd door de bovenliggende klasse, met alle relevante eigenschappen en kenmerken.",IfcAudioVisualAppliance,,IfcElectricalDomain
IfcAudioVisualApplianceMICROPHONE,IfcAudioVisualAppliance,MICROPHONE,Microphone,Microfoon,"An acoustic-to-electric transducer or sensor that converts sound into an electrical signal. Microphones types in use include electromagnetic induction (dynamic microphones), capacitance change (condenser microphones) or piezoelectric generation to produce the signal from mechanical vibration.","Een elektrische transducer of sensor die geluid converteert naar een elektrisch signaal. Het gebruik van microfoons omvat elektromagnetische inductie (dynamische microfoonen), capaciteitswijziging (condensator microfoonen) of de piezo-elektrische opwekking om het signaal van mechanische trillingen te laten zien.","Technische opmerking: Omdat deze klasse een 'Vooraf gedefinieerd Type' is in IFC, wat een specialisatie van de bovenliggende klasse betekent, in IFC moet het worden vertegenwoordigd door de bovenliggende klasse, met alle relevante eigenschappen en kenmerken.",IfcAudioVisualAppliance,,IfcElectricalDomain
IfcAudioVisualAppliancePLAYER,IfcAudioVisualAppliance,PLAYER,P Layer,P laag,"A device that plays audio and/or video content directly or to another device, having fixed or removable storage media.",Een apparaat dat audio- en/of videoinhoud direct of naar een ander apparaat afspeelt met vaste of verwijderbare opslagmedia.,"Technische opmerking: Omdat deze klasse een 'Vooraf gedefinieerd Type' is in IFC, wat een specialisatie van de bovenliggende klasse betekent, in IFC moet het worden vertegenwoordigd door de bovenliggende klasse, met alle relevante eigenschappen en kenmerken.",IfcAudioVisualAppliance,,IfcElectricalDomain
IfcAudioVisualAppliancePROJECTOR,IfcAudioVisualAppliance,PROJECTOR,Projector,Projector,"An apparatus for projecting a picture on a screen. Whether the device is an overhead, slide projector, or a film projector, it is usually referred to as simply a projector.","Een apparaat voor het projecteren van een afbeelding op een scherm. Of het apparaat een overheen, slide projector of een filmprojector is, het wordt meestal aangeduid als gewoon een projector.","Technische opmerking: Omdat deze klasse een 'Vooraf gedefinieerd Type' is in IFC, wat een specialisatie van de bovenliggende klasse betekent, in IFC moet het worden vertegenwoordigd door de bovenliggende klasse, met alle relevante eigenschappen en kenmerken.",IfcAudioVisualAppliance,,IfcElectricalDomain
IfcAudioVisualApplianceRECEIVER,IfcAudioVisualAppliance,RECEIVER,Receiver,Ontvanger,"A device that receives audio and/or video signals, switches sources, and amplifies signals to play through speakers.","Een apparaat dat audio- en/of video-signalen ontvangt, schakelt van bronnen en versterkt signalen om door sprekers af te spelen.","Technische opmerking: Omdat deze klasse een 'Vooraf gedefinieerd Type' is in IFC, wat een specialisatie van de bovenliggende klasse betekent, in IFC moet het worden vertegenwoordigd door de bovenliggende klasse, met alle relevante eigenschappen en kenmerken.",IfcAudioVisualAppliance,,IfcElectricalDomain
IfcAudioVisualApplianceRECORDINGEQUIPMENT,IfcAudioVisualAppliance,RECORDINGEQUIPMENT,Recording Equipment,Uitrusting opnemen,A recording equipment is a device that records telephone calls or other types of audio data. It also provides the function of archiving and immediate replay.,Een opnameapparaat is een apparaat dat telefoongesprekken of andere soorten audiogegevens opneemt. Het zorgt ook voor de functie van archivering en onmiddellijke replay.,"Technische opmerking: Omdat deze klasse een 'Vooraf gedefinieerd Type' is in IFC, wat een specialisatie van de bovenliggende klasse betekent, in IFC moet het worden vertegenwoordigd door de bovenliggende klasse, met alle relevante eigenschappen en kenmerken.",IfcAudioVisualAppliance,,IfcElectricalDomain
IfcAudioVisualApplianceSPEAKER,IfcAudioVisualAppliance,SPEAKER,Speaker,Spreker,"A loudspeaker, speaker, or speaker system is an electroacoustical transducer that converts an electrical signal to sound.","Een luidspreker, spreker of luidsprekersysteem is een elektroacoustische transducator die een elektrisch signaal naar geluid converteert.","Technische opmerking: Omdat deze klasse een 'Vooraf gedefinieerd Type' is in IFC, wat een specialisatie van de bovenliggende klasse betekent, in IFC moet het worden vertegenwoordigd door de bovenliggende klasse, met alle relevante eigenschappen en kenmerken.",IfcAudioVisualAppliance,,IfcElectricalDomain
IfcAudioVisualApplianceSWITCHER,IfcAudioVisualAppliance,SWITCHER,Switcher,Wisselaar,"A device that receives audio and/or video signals, switches sources, and transmits signals to downstream devices.","Een apparaat dat audio- en/of video-signalen ontvangt, van bron wisselt en signalen uitzendt naar downstream-apparaten.","Technische opmerking: Omdat deze klasse een 'Vooraf gedefinieerd Type' is in IFC, wat een specialisatie van de bovenliggende klasse betekent, in IFC moet het worden vertegenwoordigd door de bovenliggende klasse, met alle relevante eigenschappen en kenmerken.",IfcAudioVisualAppliance,,IfcElectricalDomain
IfcAudioVisualApplianceTELEPHONE,IfcAudioVisualAppliance,TELEPHONE,Telephone,Telefoon,"A telecommunications device that is used to transmit and receive sound, and optionally video.",Een telecommunicatieapparaat dat wordt gebruikt voor het verzenden en ontvangen van geluid en eventueel video.,"Technische opmerking: Omdat deze klasse een 'Vooraf gedefinieerd Type' is in IFC, wat een specialisatie van de bovenliggende klasse betekent, in IFC moet het worden vertegenwoordigd door de bovenliggende klasse, met alle relevante eigenschappen en kenmerken.",IfcAudioVisualAppliance,,IfcElectricalDomain
IfcAudioVisualApplianceTUNER,IfcAudioVisualAppliance,TUNER,Tuner,Tuner,"An electronic receiver that detects, demodulates, and amplifies transmitted signals.","Een elektronische ontvanger die verzonden signalen detecteert, degradeert en versterkt.","Technische opmerking: Omdat deze klasse een 'Vooraf gedefinieerd Type' is in IFC, wat een specialisatie van de bovenliggende klasse betekent, in IFC moet het worden vertegenwoordigd door de bovenliggende klasse, met alle relevante eigenschappen en kenmerken.",IfcAudioVisualAppliance,,IfcElectricalDomain
IfcCableCarrierFittingBEND,IfcCableCarrierFitting,BEND,Bend,Buigen,A fitting that changes the route of the cable carrier.,Een passend pak verandert de route van de kabelbaan.,"Technische opmerking: Omdat deze klasse een 'Vooraf gedefinieerd Type' is in IFC, wat een specialisatie van de bovenliggende klasse betekent, in IFC moet het worden vertegenwoordigd door de bovenliggende klasse, met alle relevante eigenschappen en kenmerken.",IfcCableCarrierFitting,,IfcElectricalDomain
IfcCableCarrierFittingCONNECTOR,IfcCableCarrierFitting,CONNECTOR,Connector,Connector,"Connector fitting, typically used to join two ports together within a flow distribution system (e.g., a coupling used to join two duct segments).","Connector passeert, meestal gebruikt om twee poorten samen te voegen binnen een debiteurdistributiesysteem (bijv. een koppeling die wordt gebruikt om twee kanaalsegmenten aan te sluiten).","Technische opmerking: Omdat deze klasse een 'Vooraf gedefinieerd Type' is in IFC, wat een specialisatie van de bovenliggende klasse betekent, in IFC moet het worden vertegenwoordigd door de bovenliggende klasse, met alle relevante eigenschappen en kenmerken.",IfcCableCarrierFitting,,IfcElectricalDomain
IfcCableCarrierFittingCROSS,IfcCableCarrierFitting,CROSS,Cross,Doorkruisen,A fitting at which two branches are taken from the main route of the cable carrier simultaneously.,Een pasvorm waarin twee takken tegelijk uit de hoofdroute van de kabeltransporteur worden gehaald.,"Technische opmerking: Omdat deze klasse een 'Vooraf gedefinieerd Type' is in IFC, wat een specialisatie van de bovenliggende klasse betekent, in IFC moet het worden vertegenwoordigd door de bovenliggende klasse, met alle relevante eigenschappen en kenmerken.",IfcCableCarrierFitting,,IfcElectricalDomain
IfcCableCarrierFittingJUNCTION,IfcCableCarrierFitting,JUNCTION,Junction,Wissel,"A fitting with typically more than two ports used to redistribute flow among the ports and/or to change the direction of flow between connected elements (e.g, tee, cross, wye, etc.).","Een passend product met meestal meer dan twee poorten die gebruikt worden om de stroom te herverdelen over de havens en/of om de richting van de stroom tussen de verbonden elementen te wijzigen (bv. , thee, cross, wye, etc.).","Technische opmerking: Omdat deze klasse een 'Vooraf gedefinieerd Type' is in IFC, wat een specialisatie van de bovenliggende klasse betekent, in IFC moet het worden vertegenwoordigd door de bovenliggende klasse, met alle relevante eigenschappen en kenmerken.",IfcCableCarrierFitting,,IfcElectricalDomain
IfcCableCarrierFittingREDUCER,IfcCableCarrierFitting,REDUCER,Reducer,Verminderder,A fitting that changes the physical size of the main route of the cable carrier.,Een aanpassing die verandert de fysieke grootte van de hoofdroute van de kabelmaatschappij.,"Technische opmerking: Omdat deze klasse een 'Vooraf gedefinieerd Type' is in IFC, wat een specialisatie van de bovenliggende klasse betekent, in IFC moet het worden vertegenwoordigd door de bovenliggende klasse, met alle relevante eigenschappen en kenmerken.",IfcCableCarrierFitting,,IfcElectricalDomain
IfcCableCarrierFittingTEE,IfcCableCarrierFitting,TEE,Tee,Thee,A fitting at which a branch is taken from the main route of the cable carrier.,Een pasvorm waarin een filiaal van de hoofdroute van de kabelmaatschappij wordt genomen.,"Technische opmerking: Omdat deze klasse een 'Vooraf gedefinieerd Type' is in IFC, wat een specialisatie van de bovenliggende klasse betekent, in IFC moet het worden vertegenwoordigd door de bovenliggende klasse, met alle relevante eigenschappen en kenmerken.",IfcCableCarrierFitting,,IfcElectricalDomain
IfcCableCarrierFittingTRANSITION,IfcCableCarrierFitting,TRANSITION,Transition,Transitie,A fitting with typically two ports having different shapes or sizes. Can also be used to change the direction of flow between connected elements.,Een aanpassing met meestal twee poorten met verschillende vormen of groottes. Kan ook worden gebruikt om de richting van de stroom tussen verbonden elementen te veranderen.,"Technische opmerking: Omdat deze klasse een 'Vooraf gedefinieerd Type' is in IFC, wat een specialisatie van de bovenliggende klasse betekent, in IFC moet het worden vertegenwoordigd door de bovenliggende klasse, met alle relevante eigenschappen en kenmerken.",IfcCableCarrierFitting,,IfcElectricalDomain
IfcCableCarrierSegmentCABLEBRACKET,IfcCableCarrierSegment,CABLEBRACKET,Cable Bracket,Kabel Haakje,"A cable bracket is a horizontal cable support fixed at one end only, spaced at intervals, on which cables rest.","Een kabelbeugel is een horizontale kabelondersteuning vastgesteld op slechts één eindpunt, met tussensteken, waarop kabels rusten.","Technische opmerking: Omdat deze klasse een 'Vooraf gedefinieerd Type' is in IFC, wat een specialisatie van de bovenliggende klasse betekent, in IFC moet het worden vertegenwoordigd door de bovenliggende klasse, met alle relevante eigenschappen en kenmerken.",IfcCableCarrierSegment,,IfcElectricalDomain
IfcCableCarrierSegmentCABLELADDERSEGMENT,IfcCableCarrierSegment,CABLELADDERSEGMENT,Cable Ladder Segment,Kabelladder,An open carrier segment on which cables are carried on a ladder structure.,Een open vervoerderssegment waarop kabels worden gedragen op een ladderstructuur.,"Technische opmerking: Omdat deze klasse een 'Vooraf gedefinieerd Type' is in IFC, wat een specialisatie van de bovenliggende klasse betekent, in IFC moet het worden vertegenwoordigd door de bovenliggende klasse, met alle relevante eigenschappen en kenmerken.",IfcCableCarrierSegment,,IfcElectricalDomain
IfcCableCarrierSegmentCABLETRAYSEGMENT,IfcCableCarrierSegment,CABLETRAYSEGMENT,Cable Tray Segment,Kabelgoot,A (typically) open carrier segment onto which cables are laid.,Een (typisch) open vervoerderssegment waarop kabels worden geplaatst.,"Technische opmerking: Omdat deze klasse een 'Vooraf gedefinieerd Type' is in IFC, wat een specialisatie van de bovenliggende klasse betekent, in IFC moet het worden vertegenwoordigd door de bovenliggende klasse, met alle relevante eigenschappen en kenmerken.",IfcCableCarrierSegment,,IfcElectricalDomain
IfcCableCarrierSegmentCABLETRUNKINGSEGMENT,IfcCableCarrierSegment,CABLETRUNKINGSEGMENT,Cable Trunking Segment,Kabel besliste segment,An enclosed carrier segment with one or more compartments into which cables are placed.,Een gesloten vervoerderssegment met één of meer vakken in welke kabels worden geplaatst.,"Technische opmerking: Omdat deze klasse een 'Vooraf gedefinieerd Type' is in IFC, wat een specialisatie van de bovenliggende klasse betekent, in IFC moet het worden vertegenwoordigd door de bovenliggende klasse, met alle relevante eigenschappen en kenmerken.",IfcCableCarrierSegment,,IfcElectricalDomain
IfcCableCarrierSegmentCATENARYWIRE,IfcCableCarrierSegment,CATENARYWIRE,Catenary Wire,Catenaire Traad,A catenary wire is a longitudinal wire supporting the grooved contact wires either directly or indirectly.;definition from UIC 719-1.,Een catenaire draad is een longitudinale draad die de geloveerde contactdraden direct of indirect ondersteunt. ;definitie van UIC 719-1.,"Technische opmerking: Omdat deze klasse een 'Vooraf gedefinieerd Type' is in IFC, wat een specialisatie van de bovenliggende klasse betekent, in IFC moet het worden vertegenwoordigd door de bovenliggende klasse, met alle relevante eigenschappen en kenmerken.",IfcCableCarrierSegment,,IfcElectricalDomain
IfcCableCarrierSegmentCONDUITSEGMENT,IfcCableCarrierSegment,CONDUITSEGMENT,Conduit Segment,Mantelbuis,An enclosed tubular carrier segment through which cables are pulled.,Een gesloten tubulaire drager segment door welke kabels worden gesleept.,"Technische opmerking: Omdat deze klasse een 'Vooraf gedefinieerd Type' is in IFC, wat een specialisatie van de bovenliggende klasse betekent, in IFC moet het worden vertegenwoordigd door de bovenliggende klasse, met alle relevante eigenschappen en kenmerken.",IfcCableCarrierSegment,,IfcElectricalDomain
IfcCableCarrierSegmentDROPPER,IfcCableCarrierSegment,DROPPER,Dropper,Druppel,A dropper is a cable carrier used to suspend cable from another cable. It could also conduct electricity.,Een dropper is een kabeldrager die gebruikt wordt om de kabel van een andere kabel op te schorten. Hij kan ook elektriciteit verbruiken.,"Technische opmerking: Omdat deze klasse een 'Vooraf gedefinieerd Type' is in IFC, wat een specialisatie van de bovenliggende klasse betekent, in IFC moet het worden vertegenwoordigd door de bovenliggende klasse, met alle relevante eigenschappen en kenmerken.",IfcCableCarrierSegment,,IfcElectricalDomain
IfcCableFittingCONNECTOR,IfcCableFitting,CONNECTOR,Connector,Connector,A fitting that joins two cable segments of the same connector type (though potentially different gender).,Een fitting die twee kabelsegmenten van hetzelfde connectortype toevoegt (hoewel mogelijk verschillend gender).,"Technische opmerking: Omdat deze klasse een 'Vooraf gedefinieerd Type' is in IFC, wat een specialisatie van de bovenliggende klasse betekent, in IFC moet het worden vertegenwoordigd door de bovenliggende klasse, met alle relevante eigenschappen en kenmerken.",IfcCableFitting,,IfcElectricalDomain
IfcCableFittingENTRY,IfcCableFitting,ENTRY,Entry,Aanmelding,A fitting that begins a cable segment at a non-electrical element such as a grounding clamp attached to a pipe.,Een passeren die een kabelsegment begint op een niet-elektrisch element zoals een grondklem die is gekoppeld aan een pijp.,"Technische opmerking: Omdat deze klasse een 'Vooraf gedefinieerd Type' is in IFC, wat een specialisatie van de bovenliggende klasse betekent, in IFC moet het worden vertegenwoordigd door de bovenliggende klasse, met alle relevante eigenschappen en kenmerken.",IfcCableFitting,,IfcElectricalDomain
IfcCableFittingEXIT,IfcCableFitting,EXIT,Exit,Afsluiten,A fitting that ends a cable segment at a non-electrical element such as a grounding clamp attached to a pipe or to the ground.,Een passeren die een kabelsegment afsluit op een niet-elektrisch element zoals een grondklem gekoppeld aan een pijp of aan de grond.,"Technische opmerking: Omdat deze klasse een 'Vooraf gedefinieerd Type' is in IFC, wat een specialisatie van de bovenliggende klasse betekent, in IFC moet het worden vertegenwoordigd door de bovenliggende klasse, met alle relevante eigenschappen en kenmerken.",IfcCableFitting,,IfcElectricalDomain
IfcCableFittingFANOUT,IfcCableFitting,FANOUT,Fanout,Fanout,A fan out is a special cable fitting that provides a safe transition from multi-fiber cable units to individual fibers.,Een fan out is een speciale kabel die voorziet in een veilige overgang van multi-vezelkabel-eenheden naar individuele vezels.,"Technische opmerking: Omdat deze klasse een 'Vooraf gedefinieerd Type' is in IFC, wat een specialisatie van de bovenliggende klasse betekent, in IFC moet het worden vertegenwoordigd door de bovenliggende klasse, met alle relevante eigenschappen en kenmerken.",IfcCableFitting,,IfcElectricalDomain
IfcCableFittingJUNCTION,IfcCableFitting,JUNCTION,Junction,Wissel,A fitting that joins three or more segments of arbitrary connector types for signal splitting or multiplexing.,Een passerende die drie of meer segmenten van willekeurige connector typen voor signaalsplitsing of multiplexing.,"Technische opmerking: Omdat deze klasse een 'Vooraf gedefinieerd Type' is in IFC, wat een specialisatie van de bovenliggende klasse betekent, in IFC moet het worden vertegenwoordigd door de bovenliggende klasse, met alle relevante eigenschappen en kenmerken.",IfcCableFitting,,IfcElectricalDomain
IfcCableFittingTRANSITION,IfcCableFitting,TRANSITION,Transition,Transitie,A fitting that joins two cable segments of different connector types.,Een passend die twee kabelsegmenten van verschillende connectortypes aansluit.,"Technische opmerking: Omdat deze klasse een 'Vooraf gedefinieerd Type' is in IFC, wat een specialisatie van de bovenliggende klasse betekent, in IFC moet het worden vertegenwoordigd door de bovenliggende klasse, met alle relevante eigenschappen en kenmerken.",IfcCableFitting,,IfcElectricalDomain
IfcCableSegmentBUSBARSEGMENT,IfcCableSegment,BUSBARSEGMENT,Busbar Segment,Busbar Segment,Electrical conductor that makes a common connection between several electrical circuits. Properties of a busbar are the same as those of a cable segment and are captured by the cable segment property set.,Elektrische conducteur die een gemeenschappelijke verbinding maakt tussen verschillende elektrische circuits. Eigenschappen van een verzamelbalk zijn hetzelfde als die van een kabelsegment en worden vastgelegd in de set van de kabelsegmenteigenschappen.,"Technische opmerking: Omdat deze klasse een 'Vooraf gedefinieerd Type' is in IFC, wat een specialisatie van de bovenliggende klasse betekent, in IFC moet het worden vertegenwoordigd door de bovenliggende klasse, met alle relevante eigenschappen en kenmerken.",IfcCableSegment,,IfcElectricalDomain
IfcCableSegmentCABLESEGMENT,IfcCableSegment,CABLESEGMENT,Cable Segment,Kabel segment,"Cable with a specific purpose to lead electric current within a circuit or any other electric construction. Includes all types of electric cables, mainly several core segments or conductor segments wrapped together.","Kabel met een specifiek doel om elektrische stroom te leiden binnen een circuit of een andere elektrische constructie. Bevat alle soorten elektrische kabels, voornamelijk verschillende kernsegmenten of geleidersegmenten samen.","Technische opmerking: Omdat deze klasse een 'Vooraf gedefinieerd Type' is in IFC, wat een specialisatie van de bovenliggende klasse betekent, in IFC moet het worden vertegenwoordigd door de bovenliggende klasse, met alle relevante eigenschappen en kenmerken.",IfcCableSegment,,IfcElectricalDomain
IfcCableSegmentCONDUCTORSEGMENT,IfcCableSegment,CONDUCTORSEGMENT,Conductors Egment,Conductors Ei,"A single linear element within a cable or an exposed wire (such as for grounding) with the specific purpose to lead electric current, data, or a telecommunications signal.",Een enkel lineair element binnen een kabel of een blootgestelde draad (zoals voor grondstoffen) met het specifieke doel om elektrische stroom te leiden data of een telecommunicatiesignaal.,"Technische opmerking: Omdat deze klasse een 'Vooraf gedefinieerd Type' is in IFC, wat een specialisatie van de bovenliggende klasse betekent, in IFC moet het worden vertegenwoordigd door de bovenliggende klasse, met alle relevante eigenschappen en kenmerken.",IfcCableSegment,,IfcElectricalDomain
IfcCableSegmentCONTACTWIRESEGMENT,IfcCableSegment,CONTACTWIRESEGMENT,Contact Wire Segment,Contact met Wire Segment,An electric conductor of an overhead contact line with which the current collectors make contact.;definition from IEC60050 811-33-15.,Een elektrische geleider van een contactlijn waarmee de huidige verzamelaars contact opnemen.;definitie van IEC60050 811-33-15.,"Technische opmerking: Omdat deze klasse een 'Vooraf gedefinieerd Type' is in IFC, wat een specialisatie van de bovenliggende klasse betekent, in IFC moet het worden vertegenwoordigd door de bovenliggende klasse, met alle relevante eigenschappen en kenmerken.",IfcCableSegment,,IfcElectricalDomain
IfcCableSegmentCORESEGMENT,IfcCableSegment,CORESEGMENT,Core Segment,Kern segment,A self contained element of a cable that comprises one or more conductors and sheathing.The core of one lead is normally single wired or multiwired which are intertwined.,Een onderdeel van een kabel met een of meer geleiders en schaapjes. De kern van één lood is normaal gesproken één draad of meerdere draaddraden die met elkaar verweven zijn.,"Technische opmerking: Omdat deze klasse een 'Vooraf gedefinieerd Type' is in IFC, wat een specialisatie van de bovenliggende klasse betekent, in IFC moet het worden vertegenwoordigd door de bovenliggende klasse, met alle relevante eigenschappen en kenmerken.",IfcCableSegment,,IfcElectricalDomain
IfcCableSegmentFIBERSEGMENT,IfcCableSegment,FIBERSEGMENT,Fiber Segment,Vezel segment,A fiber segment is an individual optical fiber used in telecommunication systems to transmit data by means of optical signals.,Een vezelsegment is een individuele optische vezel die gebruikt wordt in telecommunicatiesystemen om gegevens door middel van optische signalen te verzenden.,"Technische opmerking: Omdat deze klasse een 'Vooraf gedefinieerd Type' is in IFC, wat een specialisatie van de bovenliggende klasse betekent, in IFC moet het worden vertegenwoordigd door de bovenliggende klasse, met alle relevante eigenschappen en kenmerken.",IfcCableSegment,,IfcElectricalDomain
IfcCableSegmentFIBERTUBE,IfcCableSegment,FIBERTUBE,Fiber Tube,Vezel Buis,A fiber tube is semi-rigid hollow plastic tube with a very small radius that houses and protects a certain number of optical fiber segments. An optical cable segment may contain many fiber tubes.,Een vezelbuis is semi-rigide holle kunststof buis met een zeer kleine straal die huizen en een bepaald aantal optische vezelsegmenten beschermt. Een optisch kabelsegment kan veel vezelbuizen bevatten.,"Technische opmerking: Omdat deze klasse een 'Vooraf gedefinieerd Type' is in IFC, wat een specialisatie van de bovenliggende klasse betekent, in IFC moet het worden vertegenwoordigd door de bovenliggende klasse, met alle relevante eigenschappen en kenmerken.",IfcCableSegment,,IfcElectricalDomain
IfcCableSegmentOPTICALCABLESEGMENT,IfcCableSegment,OPTICALCABLESEGMENT,Optical Cable Segment,Optisch kabelsegment,An optical cable segment is a cable segment that contains a variable number of optical fiber segments.,Een optisch kabelsegment is een kabelsegment dat een variabele aantal optische vezelsegmenten bevat.,"Technische opmerking: Omdat deze klasse een 'Vooraf gedefinieerd Type' is in IFC, wat een specialisatie van de bovenliggende klasse betekent, in IFC moet het worden vertegenwoordigd door de bovenliggende klasse, met alle relevante eigenschappen en kenmerken.",IfcCableSegment,,IfcElectricalDomain
IfcCableSegmentSTITCHWIRE,IfcCableSegment,STITCHWIRE,Stitch Wire,Stitch Wire,A stitch wire consists of auxiliary wires and different components (clamp) used in stitched suspension.,Een stiksel bestaat uit hulpdraden en verschillende componenten (klem) die worden gebruikt in de stikte.,"Technische opmerking: Omdat deze klasse een 'Vooraf gedefinieerd Type' is in IFC, wat een specialisatie van de bovenliggende klasse betekent, in IFC moet het worden vertegenwoordigd door de bovenliggende klasse, met alle relevante eigenschappen en kenmerken.",IfcCableSegment,,IfcElectricalDomain
IfcCableSegmentWIREPAIRSEGMENT,IfcCableSegment,WIREPAIRSEGMENT,Wi Repair Segment,Wi Reparatie Segment,A pair of conductors contained in a copper cable. The pair is always used together to form a circuit to transmit data by means of electric signals.,Een paar geleiders in een koperen kabel. Het paar wordt altijd samen gebruikt om een circuit te vormen om gegevens door middel van elektrische signalen te verzenden.,"Technische opmerking: Omdat deze klasse een 'Vooraf gedefinieerd Type' is in IFC, wat een specialisatie van de bovenliggende klasse betekent, in IFC moet het worden vertegenwoordigd door de bovenliggende klasse, met alle relevante eigenschappen en kenmerken.",IfcCableSegment,,IfcElectricalDomain
